	BQYCK1	BQYCK2	BQYCK3	BQYCK4	BQYCK5	BQYCK6	BQYCK7	BQYCK8	BQYCK9	BQYNPK1	BQYNPK2	BQYNPK3	BQYNPK4	BQYNPK5	BQYNPK6	BQYNPK7	BQYNPK8	BQYNPK9	BQYNPKM1	BQYNPKM2	BQYNPKM3	BQYNPKM4	BQYNPKM5	BQYNPKM6	BQYNPKM7	BQYNPKM8	BQYNPKM9	BYCCK1	BYCCK2	BYCCK3	BYCCK4	BYCCK5	BYCCK6	BYCCK7	BYCCK8	BYCCK9	BYCNPK1	BYCNPK2	BYCNPK3	BYCNPK4	BYCNPK5	BYCNPK6	BYCNPK7	BYCNPK8	BYCNPK9	BYCNPKM1	BYCNPKM2	BYCNPKM3	BYCNPKM4	BYCNPKM5	BYCNPKM6	BYCNPKM7	BYCNPKM8	BYCNPKM9	BYYCK1	BYYCK2	BYYCK3	BYYCK4	BYYCK5	BYYCK6	BYYCK7	BYYCK8	BYYCK9	BYYNPK1	BYYNPK2	BYYNPK3	BYYNPK4	BYYNPK5	BYYNPK6	BYYNPK7	BYYNPK8	BYYNPK9	BYYNPKM1	BYYNPKM2	BYYNPKM3	BYYNPKM4	BYYNPKM5	BYYNPKM6	BYYNPKM7	BYYNPKM8	BYYNPKM9	BCCCK1	BCCCK2	BCCCK3	BCCNPK1	BCCNPK2	BCCNPK3	BCCNPKM1	BCCNPKM2	BCCNPKM3	BJX20CK1	BJX20CK2	BJX20CK3	BJX20CK4	BJX20CK5	BJX20CK6	BJX20CK7	BJX20CK8	BJX20CK9	BJX20NPK1	BJX20NPK2	BJX20NPK3	BJX20NPK4	BJX20NPK5	BJX20NPK6	BJX20NPK7	BJX20NPK8	BJX20NPK9	BJX20NPKM1	BJX20NPKM2	BJX20NPKM3	BJX20NPKM4	BJX20NPKM5	BJX20NPKM6	BJX20NPKM7	BJX20NPKM8	BJX20NPKM9	BHL20CK1	BHL20CK2	BHL20CK3	BHL20NPK1	BHL20NPK2	BHL20NPK3	BHL20NPKM1	BHL20NPKM2	BHL20NPKM3	RQYCK1	RQYCK2	RQYCK3	RQYCK4	RQYCK5	RQYCK6	RQYCK7	RQYCK8	RQYCK9	RQYNPK1	RQYNPK2	RQYNPK3	RQYNPK4	RQYNPK5	RQYNPK6	RQYNPK7	RQYNPK8	RQYNPK9	RQYNPKM1	RQYNPKM2	RQYNPKM3	RQYNPKM4	RQYNPKM5	RQYNPKM6	RQYNPKM7	RQYNPKM8	RQYNPKM9	RYCCK1	RYCCK2	RYCCK3	RYCCK4	RYCCK5	RYCCK6	RYCCK7	RYCCK8	RYCCK9	RYCNPK1	RYCNPK2	RYCNPK3	RYCNPK4	RYCNPK5	RYCNPK6	RYCNPK7	RYCNPK8	RYCNPK9	RYCNPKM1	RYCNPKM2	RYCNPKM3	RYCNPKM4	RYCNPKM5	RYCNPKM6	RYCNPKM7	RYCNPKM8	RYCNPKM9	RYYCK2	RYYCK3	RYYCK4	RYYCK5	RYYCK6	RYYCK7	RYYCK8	RYYCK9	RYYNPK1	RYYNPK2	RYYNPK3	RYYNPK4	RYYNPK5	RYYNPK6	RYYNPK7	RYYNPK8	RYYNPK9	RYYNPKM1	RYYNPKM2	RYYNPKM3	RYYNPKM4	RYYNPKM5	RYYNPKM6	RYYNPKM7	RYYNPKM8	RYYNPKM9	RCCSCK1	RCCSCK2	RCCSCK3	RCCSNPK1	RCCSNPK2	RCCSNPK3	RCCSNPKM1	RCCSNPKM2	RCCSNPKM3	RCCLCK1	RCCLCK2	RCCLCK3	RCCLNPK1	RCCLNPK2	RCCLNPK3	RCCLNPKM1	RCCLNPKM2	RCCLNPKM3	RJX20CK1	RJX20CK2	RJX20CK3	RJX20CK4	RJX20CK5	RJX20CK6	RJX20CK7	RJX20CK8	RJX20CK9	RJX20NPK1	RJX20NPK2	RJX20NPK3	RJX20NPK4	RJX20NPK5	RJX20NPK6	RJX20NPK7	RJX20NPK8	RJX20NPK9	RJX20NPKM1	RJX20NPKM2	RJX20NPKM3	RJX20NPKM4	RJX20NPKM5	RJX20NPKM8	RJX20NPKM9	RHL20SCK1	RHL20SCK2	RHL20SCK3	RHL20SNPK1	RHL20SNPK2	RHL20SNPK3	RHL20SNPKM1	RHL20SNPKM2	RHL20SNPKM3	RHL20LCK1	RHL20LCK2	RHL20LCK3	RHL20LNPK1	RHL20LNPK2	RHL20LNPK3	RHL20LNPKM1	RHL20LNPKM2	RHL20LNPKM3
OTU_2275	0	0	0	0	0	0	0	0	0	4	0	1	4	2	1	1	0	0	1	1	2	5	1	2	4	4	0	1	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	2	0	0	1	2	1	1	3	2	0	2	3	1	3	1	0	1	0	0	1	0	2	4	1	0	0	0	0	0	0	0	0	0	6	7	0	4	21	21	7	4	31	1	3	2	2	2	1	2	2	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	2	2	4	4	1	0	0	0	2	4	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	3	1	1	1	0	0	0	12	0	4	6	3	0	0	0	0	2	0	2	0	9	0	0	1	0	0	0	1	0	1	0
OTU_2277	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	2	1	2	2	0	0	2	3	1	3	1	0	0	0	1	0	1	2	1	0	1	1	3	0	2	0	1	1	5	0	1	0	1	2	1	0	2	3	5	8	1	0	5	1	0	2	3	2	2	3	2	2	0	0	0	1	2	2	4	0	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	4	1	5	4	0	1	2	0	4	0	1	11	0	0	0	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
OTU_2278	0	0	1	0	0	0	0	0	0	2	2	0	0	1	1	3	1	1	0	0	0	0	2	0	0	0	0	1	2	0	2	0	0	1	2	0	1	1	0	2	0	1	1	2	0	2	0	0	1	0	1	3	1	0	3	1	2	0	0	0	0	0	2	3	0	2	0	2	0	0	1	1	1	2	1	1	1	0	0	3	1	0	0	1	1	0	0	1	1	1	0	0	1	1	2	0	2	0	1	1	2	1	3	1	4	1	2	3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	1	0	3	0	3	0	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	2	2	0	0	0	0	1	3	9	0	0	2	0	0	2	1	1	1	0	0	0	1	0	2	7	5	10	4	14	14	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
OTU_228	41	21	40	25	22	23	36	38	29	129	109	135	210	146	132	135	125	126	135	169	172	167	85	133	144	111	92	40	38	21	43	37	52	41	47	38	36	32	30	57	57	58	64	51	46	43	19	27	31	25	34	24	53	31	55	74	52	29	54	51	63	47	40	49	70	78	73	64	70	60	79	89	47	74	66	56	109	61	58	73	43	104	144	123	102	118	145	168	129	174	26	46	21	37	25	31	13	29	19	23	37	61	53	50	58	39	41	56	95	109	80	85	112	102	118	131	100	99	100	107	74	53	72	83	65	73	41	22	52	34	34	17	30	35	31	78	168	76	100	127	170	115	103	94	170	167	234	192	73	135	113	146	110	77	58	35	38	30	32	36	41	40	33	21	27	26	28	23	44	30	26	18	21	21	23	25	13	30	28	28	24	37	40	25	22	159	28	16	64	42	36	38	37	31	36	33	48	36	48	39	37	49	31	32	25	48	137	179	132	126	157	137	188	154	150	99	99	83	106	118	132	93	140	177	28	19	31	27	29	31	40	33	37	46	52	76	96	115	58	71	63	83	76	147	83	135	123	106	147	42	60	69	70	44	68	70	80	76	76	101	81	69	90	69	87	71	64
OTU_2288	0	1	2	2	0	0	2	0	0	0	0	0	0	0	3	0	1	0	4	7	4	4	4	4	3	5	4	0	0	2	1	0	0	0	0	0	2	3	3	3	1	2	2	1	1	2	2	0	1	1	0	2	1	7	3	1	3	4	4	11	0	1	3	2	3	0	2	0	2	4	1	3	1	1	4	3	0	4	1	2	1	1	0	0	4	0	2	2	0	2	0	0	2	1	1	0	0	0	4	2	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	4	1	2	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	2	0	0	0	1	1	0	1	0	0	0	4	9	12	5	20	4	20	25	10	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	2	0	2	0	4	1	0	0	3	0	2	4	1	0	0	2	1	0	0	2	0	0	2	0	1	2	0	1	0	1	2	0	4	1	0	0	1	2	3	0	1	0	0	0	0	0	0	4	0	1	1	0	0	1	1	1	3	11	2	0	3	1	5	8	12	5	2	4	1	0	0	0	1	11	1	5	3	2	2	2	0	1	0	1	0	3	0	2	0	1	0	1	0	0	0	2	3	2
OTU_2289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	6	5	5	6	7	5	5	5	8	4	0	2	3	8	3	3	1	2	1	1	1	4	1	4	0	0	1	4	4	2	8	5	3	3	2	1	1	1	5	5	4	2	5	1	1	3	2	2	4	7	2	2	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	2	4	4	6	8	7	2	2	2	1	2	1	5	4	3	1	1	0	2	1	0	0	1	0	2	0	1	0	0	0	3	4	3	6	4	3	1	1	3	3	1	0	2	2	2	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_229	7	1	7	2	10	4	25	9	11	17	4	3	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	4	3	3	1	5	6	1	10	5	4	9	3	3	6	2	4	4	5	1	2	4	9	4	6	5	2	3	5	0	0	0	0	0	1	0	0	0	83	150	121	117	148	93	93	112	104	94	104	161	66	73	65	76	48	83	5	6	9	10	7	2	1	2	3	6	4	2	6	2	3	7	1	3	12	1	16	0	14	8	24	6	10	5	5	6	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	3	5	0	0	0	0	1	1	1	0	51	77	101	97	116	73	73	74	58	99	81	104	44	69	33	61	36	29	8	3	6	6	7	3	2	4	2	7	0	7	6	1	1	0	2	4	1	1	3	2	2	2	2
OTU_2290	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	8	7	7	9	12	8	9	5	3	6	6	9	14	10	8	5	6	5	1	1	1	3	0	3	1	6	0	6	2	6	18	14	8	5	6	7	2	2	5	6	8	5	6	5	8	1	0	1	3	3	1	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	4	6	4	1	4	5	3	3	2	3	2	3	2	1	8	1	0	1	3	7	1	1	0	1	1	4	1	3	1	1	1	2	2	3	2	1	3	3	4	0	3	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2292	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	1	3	4	3	2	4	1	4	5	0	3	5	10	1	6	5	1	2	0	1	1	2	4	6	10	3	7	11	5	4	2	4	6	9	5	5	3	10	1	11	10	6	8	9	8	2	9	11	4	2	17	14	4	13	2	7	8	6	5	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	2	9	6	7	4	5	4	5	6	15	4	8	9	9	3	28	13	15	10	10	4	9	5	1	6	5	9	0	4	2	3	4	2	6	11	9	7	6	18	11	1	12	6	10	7	9	27	8	5	1	11	3	3	7	9	4	1	2	4	2	0	9	2	6	3	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2293	18	5	5	4	13	4	6	2	7	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	5	6	5	6	4	8	3	5	2	1	1	0	1	0	1	0	2	4	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	4	3	2	4	6	3	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	7	8	6	4	6	4	7	5	5	2	0	0	0	5	1	0	0	0	2	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
OTU_2294	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	10	3	6	8	7	5	1	3	3	2	2	3	4	5	5	2	3	1	1	0	1	2	2	0	1	1	0	1	2	0	1	3	1	0	1	4	0	0	0	1	1	1	2	2	0	1	2	1	2	4	1	2	1	4	1	1	1	9	6	13	7	3	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	3	0	3	0	0	0	6	1	4	0	2	2	6	3	3	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	1	3	1	4	3	9	6	12	5	4	2	0	1	0	0	3	1	3	0	3	2	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	1	0	1	2	3	5	1	3	4	1	3	5	1	0	5	0	0	1	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	2	0	0	3	3	5	2	0	1	0	2	8	3	0	1	3	8	3	4	1	8
OTU_2298	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	7	6	10	12	1	13	10	11	8	9	16	14	14	15	6	12	6	8	14	7	8	5	5	10	10	11	3	2	1	0	3	5	1	5	5	6	3	3	7	3	9	9	13	9	8	5	9	8	6	4	9	9	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	2	1	1	3	4	2	4	7	1	7	5	6	7	5	7	6	9	2	2	1	5	3	7	2	0	1	0	0	0	1	1	2	0	2	0	4	2	5	3	4	1	4	4	4	2	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	22	1	7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	2	0	1	1	0	0	2	0	0	0	2	0	3	0	2	2	4	7	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	8	6	10	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
OTU_230	150	145	130	197	195	186	151	85	201	16	4	10	3	4	2	4	3	3	47	37	23	36	50	37	23	37	43	9	6	2	1	3	2	4	8	5	8	3	3	2	4	5	3	2	7	7	8	3	5	3	3	9	13	5	4	5	10	10	13	9	18	18	15	19	5	3	3	2	8	7	5	8	17	6	17	9	7	9	4	11	6	22	30	15	40	23	41	17	21	14	127	74	99	122	50	85	103	99	101	130	92	45	29	53	41	30	45	27	116	108	92	119	117	102	88	60	118	102	56	73	101	96	102	77	89	83	102	93	83	94	93	176	68	72	177	17	7	21	8	10	13	13	14	10	17	14	14	14	14	19	29	16	22	4	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	13	9	17	11	12	11	15	10	7	4	13	20	8	20	17	25	57	36	34	37	30	26	58	53	44	35	31	12	24	7	13	17	12	14	52	21	41	57	51	37	36	40	31	30	45	34	33	33	24	46	69	65	43	72	77	49	65	42	55
OTU_2301	9	4	4	4	2	16	7	3	6	27	16	29	14	33	5	15	14	16	1	2	3	3	10	4	4	4	0	1	0	2	1	4	1	2	3	1	1	2	2	0	0	0	0	0	1	3	5	1	1	3	0	2	4	5	0	3	0	6	12	0	6	5	6	14	2	2	1	1	1	3	8	3	5	7	3	8	5	4	2	6	5	2	1	1	3	0	0	0	0	0	15	32	51	45	27	30	27	26	27	101	33	34	44	31	46	18	26	41	8	8	5	5	2	1	3	3	2	1	3	5	1	0	2	4	3	3	6	5	3	2	3	3	2	1	7	23	20	28	21	28	9	26	33	20	0	0	1	0	1	1	1	2	2	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	2	3	0	1	0	0	0	0	0	26	35	38	27	36	36	34	43	16	54	27	39	51	23	25	33	20	21	3	8	4	7	10	1	3	0	0	3	2	4	2	1	3	0	1	1	1	0	1	0	3	2	1
OTU_2302	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	2	1	2	0	2	0	2	0	4	3	1	3	2	0	1	1	2	4	4	4	4	4	5	4	3	4	4	8	2	4	2	6	2	2	4	2	5	2	2	1	1	4	4	14	8	5	4	4	8	2	4	5	4	6	5	9	5	4	2	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	0	1	2	1	3	4	0	3	4	4	8	4	2	3	2	6	3	9	2	9	7	14	7	6	5	10	15	11	4	6	6	0	2	2	4	4	12	15	9	10	8	10	6	10	6	5	12	5	11	12	12	6	7	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2305	0	3	1	1	0	1	0	0	5	4	2	9	1	5	8	13	3	12	0	3	2	1	0	3	3	2	0	8	3	3	1	1	4	4	7	9	4	1	0	1	2	2	4	3	3	2	4	3	1	2	2	3	4	7	5	4	10	8	7	4	3	0	6	5	4	17	10	12	12	13	8	13	13	8	13	15	13	17	9	10	8	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	1	2	0	0	2	0	0	1	1	0	1	0	0	1	0	7	0	4	3	1	1	0	2	8	20	2	0	6	5	4	13	4	1	2	6	2	4	1	0	4	8	4	4	5	2	9	8	6	7	2	3	2	8	4	3	7	5	7	1	0	0	2	3	3	3	2	4	3	3	2	2	3	1	6	1	6	5	8	1	8	3	3	1	3	3	6	9	5	3	2	4	6	4	0	1	3	0	0	0	0	2	2	1	0	1	1	3	2	1	2	0	0	2	0	0	0	0	4	0	4	1	3	0	2	0	0	0	1	0	0	3	1	2	3	0	1	0	0	1	5	0	2	1	3	0	1	2	2	4	1	0	4	4	0
OTU_2306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	2	2	3	0	6	2	1	0	1	1	0	1	0	0	2	1	1	1	2	0	1	2	1	3	4	3	5	1	2	0	5	2	1	1	1	2	2	2	5	3	4	4	3	1	0	1	1	2	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	3	1	2	2	3	2	1	0	2	4	0	0	2	2	1	2	2	2	0	1	0	1	1	1	0	0	0	2	2	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2309	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	2	0	3	1	1	1	6	0	0	2	0	0	1	0	1	0	0	1	1	1	2	0	1	1	0	1	0	0	3	3	2	0	1	1	2	5	5	2	2	1	1	5	0	0	2	4	0	2	0	1	3	2	0	5	3	3	0	2	1	2	3	1	0	2	0	2	3	4	2	5	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	3	1	2	2	2	0	1	1	2	0	2	0	4	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	3	0	4	2	5	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	3	0	1	0	2	1	0	2	1	0	0	1	1	1	0	3	1	0	0	0	0	1	0	0	1	2	0	1	0	2	2	1	1	3	0	1	3	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	0	2	0	1
OTU_231	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	12	9	12	25	4	7	6	13	24	10	15	15	13	10	11	9	8	8	4	12	24	20	14	18	24	2	12	10	19	10	2	5	6	10	9	9	14	36	13	24	25	24	28	31	12	14	14	17	11	13	26	16	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	14	3	12	21	39	21	23	20	14	10	25	23	10	11	10	19	7	15	13	27	28	32	17	56	20	45	30	18	17	8	17	7	13	9	15	36	24	22	24	28	62	10	25	92	36	33	27	69	70	70	38	21	49	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2312	7	22	12	29	27	25	4	11	28	2	1	0	0	0	1	0	0	0	3	6	2	3	1	2	5	4	2	2	0	2	2	0	1	0	0	1	0	0	0	0	0	0	1	1	0	2	0	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	2	0	3	2	2	1	1	0	1	2	2	1	0	0	0	0	0	1	1	5	1	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	3	22	7	15	23	17	11	18	5	0	0	0	0	0	0	0	0	1	0	3	0	2	1	3	1	3	0	3	1	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
